r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
2,19,0.2844606728462393,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
20,25,0.2778362511554969,0.0,1.0,-1.0,-1.0,2.0,2.0
21,24,0.2778362511554969,0.0,-1.0,-1.0,1.0,2.0,2.0
22,23,0.27783625115549687,0.0,-1.0,1.0,-1.0,2.0,2.0
19,25,0.21662696559262018,-0.569035593728849,-1.0,1.0,-1.0,2.8284271247461903,2.0
19,21,0.2166269655926201,-0.569035593728849,1.0,-1.0,-1.0,2.8284271247461903,2.0
19,22,0.2166269655926201,-0.569035593728849,-1.0,-1.0,1.0,2.8284271247461903,2.0
19,20,0.21662696559261999,-0.569035593728849,-1.0,1.0,-1.0,2.8284271247461903,2.0
19,23,0.21662696559261999,-0.569035593728849,-1.0,-1.0,1.0,2.8284271247461903,2.0
19,24,0.21662696559261999,-0.569035593728849,1.0,-1.0,-1.0,2.8284271247461903,2.0
5,25,0.20114407075046406,0.0,1.0,-1.0,-1.0,1.0,2.0
5,22,0.20114407075046403,0.0,1.0,1.0,1.0,1.0,2.0
16,21,0.201144070750464,0.0,-1.0,1.0,-1.0,1.0,2.0
12,23,0.20114407075046398,0.0,1.0,-1.0,-1.0,1.0,2.0
13,22,0.20114407075046392,0.0,-1.0,-1.0,1.0,1.0,2.0
8,20,0.2011440707504639,0.0,1.0,1.0,1.0,1.0,2.0
13,24,0.2011440707504639,0.0,1.0,1.0,1.0,1.0,2.0
2,25,0.20114407075046387,0.0,1.0,-1.0,-1.0,1.0,2.0
8,23,0.20114407075046387,0.0,-1.0,-1.0,1.0,1.0,2.0
12,21,0.20114407075046387,0.0,1.0,-1.0,-1.0,1.0,2.0
2,24,0.20114407075046384,0.0,-1.0,-1.0,1.0,1.0,2.0
16,20,0.2011440707504638,0.0,-1.0,-1.0,1.0,1.0,2.0
1,23,0.18724848762735152,0.0,1.0,1.0,1.0,1.0,2.0
1,24,0.18724848762735152,0.0,1.0,1.0,1.0,1.0,2.0
