generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
66,23,1796,970,deletion,18,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
66,23,1320,844,death,33,35.99999999999966,1.0014136727533087,1.8281057563953156,exact_hop
66,23,567,78,explore,18,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
67,23,2342,2316,genericity,2,33.999999999999545,1.000882652539965,2.0075470927523305,off_manifold_hop
67,23,1796,970,deletion,19,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
67,23,1320,844,death,34,35.99999999999966,1.0014136727533087,1.8281057563953167,exact_hop
68,23,2342,2316,genericity,3,33.999999999999545,1.000882652539965,2.007547092752332,off_manifold_hop
68,23,1796,970,deletion,20,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
68,23,1320,844,death,35,35.99999999999966,1.0014136727533087,1.8281057563953156,exact_hop
69,23,2342,2316,genericity,4,33.999999999999545,1.000882652539965,2.0075470927523287,off_manifold_hop
69,23,1796,970,deletion,21,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
69,23,1320,844,death,36,35.99999999999977,1.0014136727533087,1.828105756395319,exact_hop
69,23,567,78,explore,19,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
70,23,2342,2316,genericity,5,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
70,23,1796,970,deletion,22,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
70,23,1320,844,death,37,35.99999999999966,1.0014136727533087,1.8281057563953171,exact_hop
71,23,2342,2316,genericity,6,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
71,23,1796,970,deletion,23,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
71,23,1320,844,death,38,35.99999999999966,1.0014136727533087,1.828105756395319,exact_hop
72,23,2342,2316,genericity,7,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
72,23,1796,970,deletion,24,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
72,23,1320,844,death,39,35.99999999999966,1.0014136727533087,1.8281057563953171,exact_hop
72,23,567,78,explore,20,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
73,23,2342,2316,genericity,8,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
73,23,1796,970,deletion,25,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
